veldnaam;;;;;categorie;element;GBA Persoon veldnaam;;;;;aanpassing door proxy;afleiding of feature;Buitengemeentelijke autorisatie;Beperkt zoekresultaat;
;;voornamen;;;9;02.10;;;voornamen;;;;;Ja;;
;;adellijkeTitelPredicaat;;;9;02.20;;;adellijkeTitelPredicaat;;;;;Ja;;
;;voorvoegsel;;;9;02.30;;;voorvoegsel;;;;;Ja;;
;;geslachtsnaam;;;9;02.40;;;geslachtsnaam;;;standaardwaarde . uitfilteren;onbekend_waardes;Ja;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;kinderen.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;geboorte;;;;9;;;geboorte;;;;;;~;;
;;datum;;;9;03.10;;;datum;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;;plaats;;;9;03.20;;;plaats;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;;land;;;9;03.30;;;land;;;standaardwaarde 0000 uitfilteren;onbekend_waardes;;;
;;inOnderzoek;;;;;;;;;;;;~;;
;;;*;;;;;;;;;kinderen.inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;;datumIngangOnderzoek;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;inOnderzoek;;;;9;;;inOnderzoek;;;;;;~;;
;;*;;;9;83.10;;;aanduidingGegevensInOnderzoek;;;vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;9;83.20;;;datumIngangOnderzoek;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
verblijfstitel;;;;;10;;verblijfstitel;;;;;;verblijfstitel;Ja;;
;aanduiding;;;;10;39.10;;aanduiding;;;;;;Ja;;
;datumEinde;;;;10;39.20;;datumEinde;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;datumIngang;;;;10;39.30;;datumIngang;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;Ja;;
;inOnderzoek;;;;10;;;inOnderzoek;;;;;in_onderzoek;~;;
;;*;;;10;83.10;;;aanduidingGegevensInOnderzoek;;;vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;10;83.20;;;datumIngangOnderzoek;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
indicatieGezagMinderjarige;;;;;11;32.10;indicatieGezagMinderjarige;;;;;;;Ja;;
indicatieCurateleRegister;;;;;11;33.10;indicatieCurateleRegister;;;;;;;Ja;;
uitsluitingKiesrecht;;;;;13;;uitsluitingKiesrecht;;;;;;;;;
;uitgeslotenVanKiesrecht;;;;13;38.10;;uitgeslotenVanKiesrecht;;;;;kiesrecht;;;
;einddatum;;;;13;38.20;;einddatum;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;;;
europeesKiesrecht;;;;;13;;europeesKiesrecht;;;;;;;;;
;aanduiding;;;;13;31.10;;aanduiding;;;;;kiesrecht;;;
;einddatumUitsluiting;;;;13;31.30;;einddatumUitsluiting;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;datum;;;
rni;;;;;1, 4, 6, 7, 8;;rni;;;;;;;;;
;deelnemer;;;;1, 4, 6, 7, 8;88.10;;deelnemer;;;;;;;;
;omschrijvingVerdrag;;;;1, 4, 6, 7, 8;88.20;;omschrijvingVerdrag;;;;;;;;
;categorie;;;;1, 4, 6, 7, 8;88;;categorie;;;;;;;;
